"Notes","State","State Code","Year","Year Code","OE Gestational Age 10","OE Gestational Age 10 Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births,Average Birth Weight
,"Alabama","01","2014","2014","Under 20 weeks","01","Unknown or Not Stated","12",10,Not Applicable
,"Alabama","01","2014","2014","20 - 27 weeks","02","499 grams or less","01",117,403.28
,"Alabama","01","2014","2014","20 - 27 weeks","02","500 - 999 grams","02",364,727.49
,"Alabama","01","2014","2014","20 - 27 weeks","02","1000 - 1499 grams","03",62,1104.00
,"Alabama","01","2014","2014","28 - 31 weeks","03","500 - 999 grams","02",84,848.95
,"Alabama","01","2014","2014","28 - 31 weeks","03","1000 - 1499 grams","03",356,1243.50
,"Alabama","01","2014","2014","28 - 31 weeks","03","1500 - 1999 grams","04",213,1674.77
,"Alabama","01","2014","2014","28 - 31 weeks","03","2000 - 2499 grams","05",22,2190.91
,"Alabama","01","2014","2014","32 - 35 weeks","04","1000 - 1499 grams","03",122,1351.25
,"Alabama","01","2014","2014","32 - 35 weeks","04","1500 - 1999 grams","04",738,1793.17
,"Alabama","01","2014","2014","32 - 35 weeks","04","2000 - 2499 grams","05",1240,2251.66
,"Alabama","01","2014","2014","32 - 35 weeks","04","2500 - 2999 grams","06",641,2693.94
,"Alabama","01","2014","2014","32 - 35 weeks","04","3000 - 3499 grams","07",175,3163.28
,"Alabama","01","2014","2014","32 - 35 weeks","04","3500 - 3999 grams","08",29,3687.17
,"Alabama","01","2014","2014","32 - 35 weeks","04","4000 - 4499 grams","09",10,4179.50
,"Alabama","01","2014","2014","36 weeks","05","1500 - 1999 grams","04",109,1823.73
,"Alabama","01","2014","2014","36 weeks","05","2000 - 2499 grams","05",701,2308.35
,"Alabama","01","2014","2014","36 weeks","05","2500 - 2999 grams","06",1169,2745.78
,"Alabama","01","2014","2014","36 weeks","05","3000 - 3499 grams","07",535,3195.22
,"Alabama","01","2014","2014","36 weeks","05","3500 - 3999 grams","08",146,3685.00
,"Alabama","01","2014","2014","36 weeks","05","4000 - 4499 grams","09",24,4187.08
,"Alabama","01","2014","2014","36 weeks","05","4500 - 4999 grams","10",11,4680.18
,"Alabama","01","2014","2014","37 - 39 weeks","06","1000 - 1499 grams","03",10,1272.10
,"Alabama","01","2014","2014","37 - 39 weeks","06","1500 - 1999 grams","04",101,1847.33
,"Alabama","01","2014","2014","37 - 39 weeks","06","2000 - 2499 grams","05",1638,2337.75
,"Alabama","01","2014","2014","37 - 39 weeks","06","2500 - 2999 grams","06",9176,2799.37
,"Alabama","01","2014","2014","37 - 39 weeks","06","3000 - 3499 grams","07",17493,3245.23
,"Alabama","01","2014","2014","37 - 39 weeks","06","3500 - 3999 grams","08",9948,3705.39
,"Alabama","01","2014","2014","37 - 39 weeks","06","4000 - 4499 grams","09",2145,4185.17
,"Alabama","01","2014","2014","37 - 39 weeks","06","4500 - 4999 grams","10",283,4662.19
,"Alabama","01","2014","2014","37 - 39 weeks","06","5000 - 8165 grams","11",35,5367.54
,"Alabama","01","2014","2014","40 weeks","07","2000 - 2499 grams","05",68,2363.19
,"Alabama","01","2014","2014","40 weeks","07","2500 - 2999 grams","06",1034,2834.97
,"Alabama","01","2014","2014","40 weeks","07","3000 - 3499 grams","07",3948,3263.97
,"Alabama","01","2014","2014","40 weeks","07","3500 - 3999 grams","08",3460,3722.39
,"Alabama","01","2014","2014","40 weeks","07","4000 - 4499 grams","09",880,4181.25
,"Alabama","01","2014","2014","40 weeks","07","4500 - 4999 grams","10",124,4638.34
,"Alabama","01","2014","2014","40 weeks","07","5000 - 8165 grams","11",10,5276.90
,"Alabama","01","2014","2014","41 weeks","08","2500 - 2999 grams","06",134,2854.69
,"Alabama","01","2014","2014","41 weeks","08","3000 - 3499 grams","07",688,3288.74
,"Alabama","01","2014","2014","41 weeks","08","3500 - 3999 grams","08",816,3730.40
,"Alabama","01","2014","2014","41 weeks","08","4000 - 4499 grams","09",292,4195.36
,"Alabama","01","2014","2014","41 weeks","08","4500 - 4999 grams","10",47,4646.23
,"Alabama","01","2014","2014","42 weeks or more","09","3000 - 3499 grams","07",31,3268.45
,"Alabama","01","2014","2014","42 weeks or more","09","3500 - 3999 grams","08",43,3769.14
,"Alabama","01","2014","2014","42 weeks or more","09","4000 - 4499 grams","09",22,4216.00
,"Alabama","01","2015","2015","Under 20 weeks","01","499 grams or less","01",13,258.69
,"Alabama","01","2015","2015","20 - 27 weeks","02","499 grams or less","01",119,399.55
,"Alabama","01","2015","2015","20 - 27 weeks","02","500 - 999 grams","02",373,725.15
,"Alabama","01","2015","2015","20 - 27 weeks","02","1000 - 1499 grams","03",58,1108.36
,"Alabama","01","2015","2015","28 - 31 weeks","03","500 - 999 grams","02",88,873.58
,"Alabama","01","2015","2015","28 - 31 weeks","03","1000 - 1499 grams","03",366,1258.35
,"Alabama","01","2015","2015","28 - 31 weeks","03","1500 - 1999 grams","04",192,1673.66
,"Alabama","01","2015","2015","28 - 31 weeks","03","2000 - 2499 grams","05",34,2152.79
,"Alabama","01","2015","2015","32 - 35 weeks","04","1000 - 1499 grams","03",132,1351.17
,"Alabama","01","2015","2015","32 - 35 weeks","04","1500 - 1999 grams","04",750,1792.31
,"Alabama","01","2015","2015","32 - 35 weeks","04","2000 - 2499 grams","05",1337,2247.02
,"Alabama","01","2015","2015","32 - 35 weeks","04","2500 - 2999 grams","06",686,2707.72
,"Alabama","01","2015","2015","32 - 35 weeks","04","3000 - 3499 grams","07",154,3176.63
,"Alabama","01","2015","2015","32 - 35 weeks","04","3500 - 3999 grams","08",36,3742.53
,"Alabama","01","2015","2015","36 weeks","05","1500 - 1999 grams","04",111,1852.57
,"Alabama","01","2015","2015","36 weeks","05","2000 - 2499 grams","05",710,2310.44
,"Alabama","01","2015","2015","36 weeks","05","2500 - 2999 grams","06",1116,2737.68
,"Alabama","01","2015","2015","36 weeks","05","3000 - 3499 grams","07",515,3186.70
,"Alabama","01","2015","2015","36 weeks","05","3500 - 3999 grams","08",133,3705.47
,"Alabama","01","2015","2015","36 weeks","05","4000 - 4499 grams","09",24,4182.08
,"Alabama","01","2015","2015","37 - 39 weeks","06","1500 - 1999 grams","04",115,1868.70
,"Alabama","01","2015","2015","37 - 39 weeks","06","2000 - 2499 grams","05",1703,2343.40
,"Alabama","01","2015","2015","37 - 39 weeks","06","2500 - 2999 grams","06",9206,2802.80
